date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:39	4151/4151	---M--	200	added ('OK')	text/plain	etag:%2293d0bf1ed9daec6b7477c2d96fc77be4%22	https://www.amazon.com/robots.txt		(from )
10:16:39	116107/116107	---MC-	200	added ('OK')	text/html	date:Tue,%2009%20Jul%202024%2007:16:37%20GMT	https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fref%3Dnav_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0	C:/My%20Web%20Sites/amz/www.amazon.com/ap/signin52fe.html	(from )
10:16:39	136113/136113	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Jan%202021%2002:50:26%20GMT	https://images-na.ssl-images-amazon.com/images/I/61A6IErPNXL._RC|11Fd9tJOdtL.css,11tfezETfFL.css,31Q3id-QR0L.css,31U9HrBLKmL.css_.css?AUIClients/AmazonUI	C:/My%20Web%20Sites/amz/images-na.ssl-images-amazon.com/images/I/61A6IErPNXL._RC_11Fd9tJOdtL.css,11tfezETfFL.css,31Q3id-QR0L.css,31U9HrBLKmL.css_b1fc.css	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fref%3Dnav_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
10:16:40	60911/60911	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20May%202015%2002:58:48%20GMT	https://images-na.ssl-images-amazon.com/images/I/01SdjaY0ZsL._RC|31jdWD+JB+L.css,51a-Srr-vTL.css_.css?AUIClients/AuthenticationPortalAssets	C:/My%20Web%20Sites/amz/images-na.ssl-images-amazon.com/images/I/01SdjaY0ZsL._RC_31jdWD+JB+L.css,51a-Srr-vTL.css_7e0c.css	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fref%3Dnav_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
10:16:40	4709/4709	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Jun%202024%2013:07:54%20GMT	https://images-na.ssl-images-amazon.com/images/I/21N2V6fmOuL.css?AUIClients/CVFAssets	C:/My%20Web%20Sites/amz/images-na.ssl-images-amazon.com/images/I/21N2V6fmOuLc8b6.css	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fref%3Dnav_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
10:16:40	521/521	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2022%20Dec%202020%2019:40:30%20GMT	https://images-na.ssl-images-amazon.com/images/I/01wGDSlxwdL.js?AUIClients/AuthenticationPortalInlineAssets	C:/My%20Web%20Sites/amz/images-na.ssl-images-amazon.com/images/I/01wGDSlxwdLf98e.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fref%3Dnav_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
10:16:40	21426/21426	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2026%20Jun%202024%2002:34:47%20GMT	https://images-na.ssl-images-amazon.com/images/I/41iPIJpGx7L.js?AUIClients/CVFAssets	C:/My%20Web%20Sites/amz/images-na.ssl-images-amazon.com/images/I/41iPIJpGx7Lc8b6.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fref%3Dnav_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
10:16:41	331197/331197	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20May%202024%2016:30:14%20GMT	https://images-na.ssl-images-amazon.com/images/I/8150jbgvn9L.js?AUIClients/SiegeClientSideEncryptionAUI	C:/My%20Web%20Sites/amz/images-na.ssl-images-amazon.com/images/I/8150jbgvn9Lf1d7.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fref%3Dnav_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
10:16:41	14537/14537	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2012%20Aug%202021%2022:54:08%20GMT	https://images-na.ssl-images-amazon.com/images/I/31jdfgcsPAL.js?AUIClients/AmazonUIFormControlsJS	C:/My%20Web%20Sites/amz/images-na.ssl-images-amazon.com/images/I/31jdfgcsPAL5973.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fref%3Dnav_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
10:16:41	180817/180817	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202024%2020:39:01%20GMT	https://images-na.ssl-images-amazon.com/images/I/71KpCrHpq0L.js?AUIClients/IdentityWebAuthnAssets	C:/My%20Web%20Sites/amz/images-na.ssl-images-amazon.com/images/I/71KpCrHpq0L99db.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fref%3Dnav_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0)
